country_Code,Country_number,Country,Currency Name,Currency_Code,Currency_Number
ISL,352,ICELAND,Iceland Krona,ISK,352
IND,356,INDIA,Indian Rupee,INR,356
IDN,360,INDONESIA,Rupiah,IDR,360
IRN,364,IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,364
IRQ,368,IRAQ,Iraqi Dinar,IQD,368
IRL,372,IRELAND,Euro,EUR,978
IMN,833,ISLE OF MAN,Pound Sterling,GBP,826
ISR,376,ISRAEL,New Israeli Sheqel,ILS,376
ITA,380,ITALY,Euro,EUR,978
JAM,388,JAMAICA,Jamaican Dollar,JMD,388
JPN,392,JAPAN,Yen,JPY,392
JEY,832,JERSEY,Pound Sterling,GBP,826
JOR,400,JORDAN,Jordanian Dinar,JOD,400
KAZ,398,KAZAKHSTAN,Tenge,KZT,398
KEN,404,KENYA,Kenyan Shilling,KES,404
KIR,296,KIRIBATI,Australian Dollar,AUD,36
PRK,408,KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won,KPW,408
KOR,410,KOREA (THE REPUBLIC OF),Won,KRW,410
KWT,414,KUWAIT,Kuwaiti Dinar,KWD,414
KGZ,417,KYRGYZSTAN,Som,KGS,417
LAO,418,LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),Kip,LAK,418
LVA,428,LATVIA,Euro,EUR,978
LBN,422,LEBANON,Lebanese Pound,LBP,422
LSO,426,LESOTHO,Loti,LSL,426
LSO,426,LESOTHO,Rand,ZAR,710
LBR,430,LIBERIA,Liberian Dollar,LRD,430
LBY,434,LIBYA,Libyan Dinar,LYD,434
LIE,438,LIECHTENSTEIN,Swiss Franc,CHF,756
LTU,440,LITHUANIA,Euro,EUR,978
LUX,442,LUXEMBOURG,Euro,EUR,978
MAC,446,MACAO,Pataca,MOP,446
MKD,807,MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),Denar,MKD,807
MDG,450,MADAGASCAR,Malagasy Ariary,MGA,969
MWI,454,MALAWI,Kwacha,MWK,454
MYS,458,MALAYSIA,Malaysian Ringgit,MYR,458
MDV,462,MALDIVES,Rufiyaa,MVR,462
MLI,466,MALI,CFA Franc BCEAO,XOF,952
MLT,470,MALTA,Euro,EUR,978
MHL,584,MARSHALL ISLANDS (THE),US Dollar,USD,840
MTQ,474,MARTINIQUE,Euro,EUR,978
MRT,478,MAURITANIA,Ouguiya,MRU,929
MUS,480,MAURITIUS,Mauritius Rupee,MUR,480
MYT,175,MAYOTTE,Euro,EUR,978
MEX,484,MEXICO,Mexican Peso,MXN,484
MEX,484,MEXICO,Mexican Unidad de Inversion (UDI),MXV,979
FSM,583,MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840
MDA,498,MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,498
MCO,492,MONACO,Euro,EUR,978
MNG,496,MONGOLIA,Tugrik,MNT,496
MNE,499,MONTENEGRO,Euro,EUR,978
MSR,500,MONTSERRAT,East Caribbean Dollar,XCD,951
MAR,504,MOROCCO,Moroccan Dirham,MAD,504
MOZ,508,MOZAMBIQUE,Mozambique Metical,MZN,943
MMR,104,MYANMAR,Kyat,MMK,104
NAM,516,NAMIBIA,Namibia Dollar,NAD,516
NAM,516,NAMIBIA,Rand,ZAR,710
NRU,520,NAURU,Australian Dollar,AUD,36
NPL,524,NEPAL,Nepalese Rupee,NPR,524
NLD,528,NETHERLANDS (THE),Euro,EUR,978
NCL,540,NEW CALEDONIA,CFP Franc,XPF,953
NZL,554,NEW ZEALAND,New Zealand Dollar,NZD,554
NIC,558,NICARAGUA,Cordoba Oro,NIO,558
NER,562,NIGER (THE),CFA Franc BCEAO,XOF,952
